epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,3188.18,0.72496,0.67833,1.19528,0.88327,0.81946,0.89855,0.72493,0.82916,0.66113,1.28731,0.00109903,0.00109903,0.00109903
63,3239.45,0.7233,0.68518,1.18746,0.87492,0.82123,0.88528,0.70189,0.81899,0.63893,1.33747,0.00109655,0.00109655,0.00109655
64,3290.77,0.73295,0.70916,1.19291,0.86014,0.80186,0.89149,0.71634,0.8138,0.74556,1.35669,0.00109408,0.00109408,0.00109408
65,3342.04,0.69135,0.68008,1.176,0.86254,0.87103,0.90667,0.72703,0.82845,0.67467,1.39857,0.0010916,0.0010916,0.0010916
66,3393.26,0.68522,0.6468,1.16504,0.94324,0.84697,0.91278,0.74331,0.78234,0.67636,1.32288,0.00108913,0.00108913,0.00108913
67,3444.82,0.69515,0.64159,1.16477,0.86843,0.87941,0.92336,0.7398,0.82241,0.61071,1.36395,0.00108665,0.00108665,0.00108665
68,3496.12,0.7033,0.63902,1.17364,0.89993,0.87588,0.91374,0.74084,0.79041,0.6194,1.32779,0.00108417,0.00108417,0.00108417
69,3547.48,0.69733,0.64481,1.16885,0.87685,0.83483,0.90926,0.71871,0.84027,0.6502,1.33683,0.0010817,0.0010817,0.0010817
70,3598.71,0.69522,0.63368,1.17735,0.89019,0.81975,0.90674,0.73526,0.83989,0.85825,1.34629,0.00107923,0.00107923,0.00107923
71,3650.13,0.67953,0.64599,1.16267,0.89657,0.84328,0.90043,0.71459,0.87935,0.84616,1.32749,0.00107675,0.00107675,0.00107675
72,3701.42,0.68544,0.64058,1.16274,0.92628,0.85533,0.91643,0.75086,0.7729,0.5514,1.28983,0.00107427,0.00107427,0.00107427
73,3752.88,0.69279,0.63557,1.17246,0.90496,0.84524,0.91149,0.73595,0.87813,0.75295,1.42109,0.0010718,0.0010718,0.0010718
74,3804.06,0.65741,0.61586,1.15366,0.92296,0.84618,0.92739,0.75679,0.77305,0.52979,1.31181,0.00106933,0.00106933,0.00106933
75,3855.6,0.65942,0.59958,1.14367,0.8996,0.8749,0.9233,0.75664,0.77137,0.53128,1.32378,0.00106685,0.00106685,0.00106685
76,3906.87,0.67462,0.62442,1.14807,0.91627,0.83347,0.91875,0.74986,0.785,0.5819,1.25753,0.00106437,0.00106437,0.00106437
77,3958.19,0.67259,0.62415,1.15376,0.88759,0.87634,0.92228,0.75847,0.77367,0.72527,1.29253,0.0010619,0.0010619,0.0010619
78,4009.62,0.65414,0.60248,1.14623,0.88693,0.79826,0.89461,0.72148,0.8135,0.6365,1.31303,0.00105942,0.00105942,0.00105942
79,4060.88,0.67442,0.60932,1.15502,0.89407,0.85436,0.91942,0.7659,0.80535,0.60871,1.27135,0.00105695,0.00105695,0.00105695
80,4112.31,0.66835,0.61008,1.15954,0.90993,0.85838,0.92355,0.76191,0.76561,0.5694,1.24617,0.00105448,0.00105448,0.00105448
81,4163.74,0.65465,0.59859,1.144,0.92231,0.84667,0.92082,0.76964,0.75126,0.52883,1.25286,0.001052,0.001052,0.001052
82,4215.19,0.64213,0.58867,1.12991,0.93114,0.79703,0.91516,0.74474,0.86292,0.64917,1.36588,0.00104952,0.00104952,0.00104952
83,4266.46,0.66365,0.60322,1.14527,0.93077,0.81543,0.91746,0.76222,0.77205,0.54526,1.23637,0.00104705,0.00104705,0.00104705
84,4317.75,0.66442,0.61365,1.14749,0.88915,0.86458,0.92197,0.76129,0.83157,0.574,1.31656,0.00104458,0.00104458,0.00104458
85,4368.99,0.65667,0.58969,1.14354,0.85924,0.83423,0.90086,0.74851,0.78668,0.59858,1.24564,0.0010421,0.0010421,0.0010421
86,4420.22,0.65355,0.60539,1.14633,0.91966,0.84654,0.91519,0.761,0.7742,0.80346,1.30795,0.00103962,0.00103962,0.00103962
87,4471.48,0.66789,0.58851,1.14877,0.90907,0.86427,0.92558,0.76656,0.80304,0.53637,1.28284,0.00103715,0.00103715,0.00103715
88,4522.78,0.6548,0.58104,1.13509,0.91036,0.85573,0.92257,0.75344,0.76091,0.5206,1.3074,0.00103468,0.00103468,0.00103468
89,4574.16,0.62085,0.57217,1.12232,0.91716,0.87658,0.92774,0.76316,0.76891,0.54046,1.29473,0.0010322,0.0010322,0.0010322
