epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
135,1365.85,1.77551,0.5646,0.8352,1.60598,0.003367,0.003367,0.003367
136,1375.29,1.76977,0.5644,0.8347,1.59065,0.0033175,0.0033175,0.0033175
137,1385.32,1.76057,0.565,0.8351,1.60212,0.003268,0.003268,0.003268
138,1394.93,1.75068,0.5659,0.8351,1.61716,0.0032185,0.0032185,0.0032185
139,1404.79,1.73872,0.5658,0.8355,1.5894,0.003169,0.003169,0.003169
140,1414.41,1.74016,0.5665,0.836,1.60698,0.0031195,0.0031195,0.0031195
141,1424.6,1.72473,0.5666,0.8358,1.5905,0.00307,0.00307,0.00307
142,1434.32,1.72073,0.567,0.836,1.59478,0.0030205,0.0030205,0.0030205
143,1443.95,1.71898,0.5674,0.8353,1.61506,0.002971,0.002971,0.002971
144,1453.39,1.70476,0.5678,0.8352,1.6001,0.0029215,0.0029215,0.0029215
145,1462.81,1.69736,0.5674,0.8354,1.5938,0.002872,0.002872,0.002872
146,1472.18,1.69484,0.5673,0.8361,1.57516,0.0028225,0.0028225,0.0028225
147,1481.47,1.67612,0.5681,0.8367,1.57369,0.002773,0.002773,0.002773
148,1491.07,1.67151,0.5674,0.8362,1.58159,0.0027235,0.0027235,0.0027235
149,1500.08,1.65512,0.5667,0.8363,1.59639,0.002674,0.002674,0.002674
150,1509.49,1.64327,0.5677,0.8367,1.57937,0.0026245,0.0026245,0.0026245
151,1519.2,1.65476,0.5673,0.8363,1.58289,0.002575,0.002575,0.002575
152,1528.65,1.64586,0.5667,0.836,1.59575,0.0025255,0.0025255,0.0025255
153,1538.28,1.64068,0.5667,0.8363,1.56556,0.002476,0.002476,0.002476
154,1547.48,1.62144,0.5678,0.8363,1.5864,0.0024265,0.0024265,0.0024265
155,1556.85,1.60866,0.5678,0.8368,1.58943,0.002377,0.002377,0.002377
156,1566.43,1.60809,0.5682,0.837,1.57605,0.0023275,0.0023275,0.0023275
157,1576.05,1.58944,0.5682,0.8367,1.58669,0.002278,0.002278,0.002278
158,1585.54,1.58938,0.5695,0.8374,1.58772,0.0022285,0.0022285,0.0022285
159,1595.57,1.5686,0.5704,0.837,1.57686,0.002179,0.002179,0.002179
160,1605.09,1.57299,0.57,0.8379,1.56353,0.0021295,0.0021295,0.0021295
161,1614.8,1.55056,0.5717,0.8378,1.57734,0.00208,0.00208,0.00208
162,1624.68,1.55786,0.5712,0.8377,1.58096,0.0020305,0.0020305,0.0020305
163,1634.76,1.54051,0.5731,0.8371,1.56216,0.001981,0.001981,0.001981
164,1644.07,1.52837,0.5741,0.8376,1.55817,0.0019315,0.0019315,0.0019315
