epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,548.155,0.65196,0.52742,1.06437,0.88194,0.85608,0.91821,0.75099,0.95383,0.63935,1.4981,0.00106685,0.00106685,0.00106685
76,555.551,0.63192,0.52173,1.05225,0.89094,0.88021,0.92216,0.74934,0.91516,0.58588,1.48003,0.00106437,0.00106437,0.00106437
77,562.958,0.63567,0.50822,1.04989,0.91137,0.84184,0.92327,0.76137,0.89739,0.59704,1.46354,0.0010619,0.0010619,0.0010619
78,570.294,0.64048,0.5193,1.05809,0.92149,0.84553,0.92499,0.762,0.92021,0.5526,1.42287,0.00105942,0.00105942,0.00105942
79,577.655,0.63218,0.51783,1.06269,0.88875,0.9015,0.93241,0.76313,0.93318,0.57322,1.45512,0.00105695,0.00105695,0.00105695
80,584.992,0.63745,0.53024,1.0537,0.88639,0.84085,0.92974,0.77255,0.9192,0.58405,1.49553,0.00105448,0.00105448,0.00105448
81,592.362,0.62332,0.50877,1.05364,0.87397,0.8455,0.91115,0.74682,0.94169,0.66565,1.43784,0.001052,0.001052,0.001052
82,599.708,0.6245,0.51987,1.06005,0.90663,0.85947,0.93308,0.76692,0.89773,0.55333,1.41974,0.00104952,0.00104952,0.00104952
83,607.059,0.63258,0.50848,1.04566,0.93462,0.89865,0.94668,0.7901,0.82215,0.53384,1.25603,0.00104705,0.00104705,0.00104705
84,614.431,0.64502,0.53001,1.06832,0.92242,0.87502,0.94301,0.77461,0.86837,0.57767,1.39006,0.00104458,0.00104458,0.00104458
85,621.769,0.62411,0.51158,1.04842,0.91926,0.87097,0.93203,0.77217,0.94716,0.54446,1.49445,0.0010421,0.0010421,0.0010421
86,629.154,0.63846,0.51886,1.0613,0.95088,0.84487,0.93132,0.76772,0.9289,0.53389,1.48216,0.00103962,0.00103962,0.00103962
87,636.631,0.63683,0.51256,1.05296,0.8961,0.8771,0.93022,0.76651,0.86869,0.62916,1.28346,0.00103715,0.00103715,0.00103715
88,643.98,0.6297,0.50653,1.05637,0.92534,0.84382,0.93256,0.77831,0.77342,0.54275,1.17002,0.00103468,0.00103468,0.00103468
89,651.371,0.6248,0.49003,1.04041,0.91109,0.88868,0.93286,0.77165,0.9115,0.56374,1.37598,0.0010322,0.0010322,0.0010322
90,658.773,0.61916,0.49689,1.0409,0.91949,0.86185,0.93703,0.78395,0.87862,0.52489,1.44599,0.00102972,0.00102972,0.00102972
91,666.101,0.63518,0.50612,1.05651,0.88181,0.85806,0.92198,0.75977,0.91421,0.56364,1.40497,0.00102725,0.00102725,0.00102725
92,673.419,0.63203,0.51073,1.05449,0.89371,0.85728,0.92557,0.76178,0.83516,0.5877,1.36392,0.00102478,0.00102478,0.00102478
93,680.747,0.60859,0.50261,1.05395,0.89661,0.86467,0.92172,0.76913,0.84362,0.5669,1.34894,0.0010223,0.0010223,0.0010223
94,688.09,0.6296,0.5066,1.05544,0.95513,0.84154,0.94008,0.7727,0.86593,0.67503,1.35593,0.00101983,0.00101983,0.00101983
95,695.488,0.60249,0.48338,1.03383,0.90619,0.86716,0.93494,0.79051,0.83108,0.54162,1.40326,0.00101735,0.00101735,0.00101735
96,702.828,0.61029,0.4961,1.04148,0.88885,0.88014,0.93693,0.77506,0.89112,0.54517,1.5023,0.00101488,0.00101488,0.00101488
97,710.136,0.60936,0.50657,1.04262,0.94,0.81624,0.92604,0.77182,0.92471,0.66457,1.48138,0.0010124,0.0010124,0.0010124
98,717.461,0.62088,0.49563,1.04855,0.92748,0.87385,0.94459,0.78795,0.85687,0.59309,1.35934,0.00100993,0.00100993,0.00100993
99,724.829,0.60473,0.4744,1.0433,0.94753,0.85418,0.93359,0.78575,0.89742,0.54443,1.45163,0.00100745,0.00100745,0.00100745
100,732.309,0.6106,0.48151,1.04118,0.89115,0.86655,0.92501,0.7658,0.91042,0.58036,1.45506,0.00100497,0.00100497,0.00100497
101,739.823,0.5891,0.46329,1.03052,0.87604,0.85989,0.92324,0.76885,0.81806,0.62776,1.20715,0.0010025,0.0010025,0.0010025
102,747.216,0.60932,0.49282,1.04416,0.90113,0.84244,0.92893,0.7738,0.84142,0.58644,1.31647,0.00100003,0.00100003,0.00100003
103,754.578,0.60753,0.4858,1.05277,0.89124,0.87064,0.93386,0.76849,0.87992,0.54255,1.47819,0.00099755,0.00099755,0.00099755
