epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
155,4371.88,0.52491,0.41339,1.04491,0.92856,0.87837,0.94307,0.80244,0.67758,0.44927,1.13629,0.00086885,0.00086885,0.00086885
156,4400.11,0.52313,0.41546,1.04438,0.91577,0.85874,0.93137,0.78742,0.79707,0.51759,1.33363,0.000866375,0.000866375,0.000866375
157,4428.34,0.5196,0.41255,1.03954,0.911,0.89424,0.93954,0.79241,0.80153,0.46551,1.34962,0.0008639,0.0008639,0.0008639
158,4456.47,0.51848,0.41036,1.05054,0.91284,0.89031,0.93848,0.79321,0.78486,0.45951,1.27522,0.000861425,0.000861425,0.000861425
159,4484.62,0.51956,0.40314,1.04966,0.92634,0.89101,0.94074,0.80344,0.75587,0.46714,1.22999,0.00085895,0.00085895,0.00085895
160,4512.77,0.51753,0.40954,1.04058,0.93655,0.88037,0.93784,0.80493,0.76649,0.47965,1.38054,0.000856475,0.000856475,0.000856475
161,4540.91,0.50165,0.40652,1.02995,0.90946,0.88677,0.94656,0.8096,0.75809,0.47189,1.28089,0.000854,0.000854,0.000854
162,4569.07,0.52482,0.40653,1.03886,0.92809,0.8923,0.95448,0.81542,0.74767,0.42815,1.31063,0.000851525,0.000851525,0.000851525
163,4597.32,0.50978,0.39757,1.04567,0.921,0.87179,0.94285,0.8077,0.75884,0.8867,1.28005,0.00084905,0.00084905,0.00084905
164,4625.52,0.51328,0.41219,1.04564,0.93123,0.88026,0.94641,0.8098,0.84278,0.52981,1.3056,0.000846575,0.000846575,0.000846575
165,4653.7,0.49936,0.40557,1.03961,0.91329,0.89315,0.94154,0.79521,0.76826,0.46647,1.30726,0.0008441,0.0008441,0.0008441
166,4681.85,0.51714,0.41961,1.04207,0.94257,0.8561,0.94258,0.80803,0.7656,0.44439,1.23389,0.000841625,0.000841625,0.000841625
167,4710.03,0.50289,0.39701,1.03845,0.94327,0.89134,0.94604,0.79693,0.76529,0.47859,1.2141,0.00083915,0.00083915,0.00083915
168,4738.25,0.50078,0.3949,1.03019,0.92145,0.88859,0.93981,0.79316,0.86592,0.4731,1.2929,0.000836675,0.000836675,0.000836675
169,4766.42,0.49798,0.39428,1.03754,0.92497,0.89104,0.93907,0.79909,0.77338,0.45152,1.39065,0.0008342,0.0008342,0.0008342
170,4794.58,0.49414,0.39862,1.02903,0.94861,0.88751,0.94871,0.80259,0.79364,0.42544,1.31807,0.000831725,0.000831725,0.000831725
171,4822.76,0.49484,0.39814,1.02463,0.92716,0.87906,0.94027,0.80476,0.74733,0.46362,1.28678,0.00082925,0.00082925,0.00082925
172,4850.98,0.49721,0.39566,1.03331,0.92917,0.88394,0.94153,0.80079,0.75836,0.4278,1.33839,0.000826775,0.000826775,0.000826775
173,4879.12,0.48644,0.38283,1.02518,0.92563,0.9106,0.9483,0.80011,0.7718,0.42461,1.38992,0.0008243,0.0008243,0.0008243
174,4907.33,0.49528,0.39181,1.02998,0.94243,0.90433,0.95303,0.81624,0.77028,0.42479,1.34247,0.000821825,0.000821825,0.000821825
175,4935.62,0.50158,0.39164,1.03791,0.94379,0.86026,0.94197,0.81342,0.75915,0.44416,1.25361,0.00081935,0.00081935,0.00081935
176,4963.75,0.48749,0.38185,1.0172,0.94604,0.90408,0.95545,0.80993,0.75601,0.42216,1.3875,0.000816875,0.000816875,0.000816875
177,4991.96,0.5033,0.39471,1.03611,0.94925,0.87567,0.94208,0.80503,0.78989,0.48571,1.33924,0.0008144,0.0008144,0.0008144
178,5020.09,0.50186,0.39864,1.041,0.95119,0.86356,0.93761,0.80379,0.80455,0.48549,1.27939,0.000811925,0.000811925,0.000811925
179,5048.24,0.48785,0.38996,1.02623,0.91555,0.923,0.94998,0.80666,0.8491,0.52414,1.26824,0.00080945,0.00080945,0.00080945
180,5076.44,0.50271,0.38593,1.03015,0.9329,0.89263,0.95114,0.81625,0.64269,0.39132,1.15453,0.000806975,0.000806975,0.000806975
181,5104.59,0.48764,0.38522,1.02446,0.93576,0.89136,0.95368,0.81971,0.65401,0.42616,1.13306,0.0008045,0.0008045,0.0008045
182,5132.8,0.48983,0.38912,1.01613,0.92591,0.89414,0.94107,0.79733,0.7822,0.45633,1.34436,0.000802025,0.000802025,0.000802025
